연도,유치원,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교
연도,유치원,초등학교,중학교,소계,일반계고,전문계고,일반고,특수목적고,특성화고,자율고
1999,26.8,35.4,38.9,46.2,47.2,44.6,0.0,0.0,0.0,0.0
2000,26.3,35.8,38.0,42.7,44.1,40.3,0.0,0.0,0.0,0.0
2001,25.8,35.6,37.3,39.7,41.6,36.4,0.0,0.0,0.0,0.0
2002,25.5,34.9,36.7,33.9,34.7,32.2,0.0,0.0,0.0,0.0
2003,25.0,33.9,34.8,33.1,34.1,31.0,0.0,0.0,0.0,0.0
2004,24.6,32.9,35.1,32.7,33.8,30.2,0.0,0.0,0.0,0.0
2005,24.2,31.8,35.3,32.7,33.9,30.0,0.0,0.0,0.0,0.0
2006,23.7,30.9,35.3,32.5,33.7,29.9,0.0,0.0,0.0,0.0
2007,22.7,30.2,35.0,33.1,34.3,30.1,0.0,0.0,0.0,0.0
2008,21.9,29.2,34.7,33.7,35.1,30.0,0.0,0.0,0.0,0.0
2009,21.6,27.8,34.4,34.2,35.9,29.8,0.0,0.0,0.0,0.0
2010,21.0,26.6,33.8,33.7,35.5,29.1,0.0,0.0,0.0,0.0
2011,20.9,25.5,33.0,33.1,0.0,0.0,34.7,28.4,28.5,33.5
2012,21.6,24.3,32.4,32.5,0.0,0.0,34.2,26.7,28.0,32.3
2013,21.5,23.2,31.7,31.9,0.0,0.0,33.6,25.8,27.6,31.5
2014,19.7,22.8,30.5,30.9,0.0,0.0,32.4,25.0,26.9,30.7
2015,20.0,22.6,28.9,30.0,0.0,0.0,31.3,24.4,26.4,30.3
2016,19.7,22.4,27.4,29.3,0.0,0.0,30.6,24.0,25.7,30.2
2017,19.0,22.3,26.4,28.2,0.0,0.0,29.3,23.7,24.7,29.6
2018,17.9,22.3,25.7,26.2,0.0,0.0,27.1,23.1,23.0,28.1
2019,17.0,22.2,25.1,24.5,0.0,0.0,25.2,22.8,21.3,26.5
2020,16.7,21.8,25.2,23.4,0.0,0.0,24.2,22.3,19.8,25.5
2021,17.5,21.5,25.5,23.1,0.0,0.0,24.0,22.1,19.2,25.9
2022,16.7,21.1,25.0,22.6,0.0,0.0,23.7,21.3,18.1,26.0
2023,16.1,20.7,24.6,22.9,0.0,0.0,24.1,20.8,17.7,26.7
2024,15.7,20.0,24.5,23.4,0.0,0.0,24.8,20.7,17.6,26.1
